date,venue,title,project,selected,link
2017-05-31,New Scientist,Hello, Robot: The show that braves the future,kip,no,https://www.newscientist.com/article/mg23431280-500-hello-robot-the-show-that-braves-the-future/
2017-08-23,IEEE Spectrum,Blossom: A Handmade Approach to Social Robotics from Cornell and Google,blossom,yes,https://spectrum.ieee.org/automaton/robotics/home-robots/blossom-a-creative-handmade-approach-to-social-robotics-from-cornell-and-google
2017-08-23,Live Science,This Lumpy Robot Lends Endearing Touch to Social Bots,blossom,no,https://www.livescience.com/60307-blossom-soft-social-robot.html
2017-09-06,FastCompany,A Robot Designed To Help Kids With Autism Learn Social Cues,blossom,no,https://www.fastcompany.com/90138641/a-robot-designed-to-help-kids-with-autism-learn-social-cues
2017-12-01,AXIS Magazine,Emotional intelligence demonstrated by faceless robots wearing knits,blossom,no,http://www.axisinc.co.jp/english/magazine/vol/190.html
2018-05-16,IEEE Spectrum,Feel What This Robot Feels Through Tactile Expressions,goosebumps,yes,https://spectrum.ieee.org/automaton/robotics/robotics-hardware/feel-what-this-robot-feels-through-tactile-expressions/
2018-05-16,TechCrunch,This jolly little robot gets goosebumps,goosebumps,yes,https://techcrunch.com/2018/05/16/this-jolly-little-robot-gets-goosebumps/
2018-05-17,TechXplore,Giving robots goosebumps and spikes to show emotion,goosebumps,no,https://techxplore.com/news/2018-05-robots-goosebumps-spikes-emotion.html/
2018-05-17,UK Express,CYBORGS one step closer as robots created which respond to TOUCH,goosebumps,no,https://www.express.co.uk/news/science/961278/cyborg-robot-touch-artificial-intelligence-AI/
2018-05-17,Adafruit Blog,Feel What This Robot Feels,goosebumps,no,https://blog.adafruit.com/2018/05/17/feel-what-this-robot-feels-ieeespectrum-cornell-robots-biomimicry/
2018-05-17,The Silicone Review,Meet the Little Robot That Gets Goosebumps,goosebumps,no,https://thesiliconreview.com/2018/5/robot-expressing-emotions/
2018-05-17,MediaLeaks,[Russian],goosebumps,no,https://medialeaks.ru/1705mav-robot-murashki/
2018-05-18,Geek.com,Robots Get Goosebumps too,goosebumps,no,https://www.geek.com/tech/robots-get-goosebumps-too-1740395/
2018-05-18,GDS,Il robot con la pelle d'oca,goosebumps,no,https://gds.it/speciali/scienza-tecnica/2018/05/18/il-robot-con-la-pelle-d-oca-8873a0bc-3803-47b0-b20a-f56e9306169f/
2018-05-18,Medium,Welcome this cute smiling Robot: Gets Goosebumps and Spikes,goosebumps,no,https://medium.com/@me2technology/welcome-this-cute-smiling-robot-gets-goosebumps-and-spikes-e862b4d316c8/
2018-05-21,Outer Places,Cornell's New 'Social' Robot Can Literally Get Goosebumps,goosebumps,no,https://www.outerplaces.com/science/item/18482-cornell-social-robot-goosebumps
2018-06-04,NBC News,This robot gets goosebumps when it’s happy,goosebumps,yes,https://www.nbcnews.com/feature/flashback/video/this-robot-gets-goosebumps-when-it-s-happy-1247744067630/
2018-07-09,Cornell Chronicle,Robot prototype will let you feel how it’s ‘feeling’,goosebumps,yes,https://news.cornell.edu/stories/2018/07/robot-prototype-will-let-you-feel-how-its-feeling/
2018-07-16,Engadget,Emotional robot uses goosebumps to show how it's feeling,goosebumps,yes,https://www.engadget.com/2018/07/16/emotional-robot-uses-goosebumps-to-show-feeling/
2018-07-16,Electronics360,Watch: Robot Skin Non-Verbally Displays the Robot’s Feelings,goosebumps,no,https://electronics360.globalspec.com/article/12295/watch-robot-skin-non-verbally-displays-the-robot-s-feelings/
2018-07-16,R&D,New Skin Gives Robots Ability to Display Emotions,goosebumps,no,https://www.rdmag.com/article/2018/07/new-skin-gives-robots-ability-display-emotions#disqus_thread/
2018-07-18,Ecnomic Times,"Goosebumps and spikes: This robot can feel, express emotions",goosebumps,no,https://economictimes.indiatimes.com/magazines/panache/goosebumps-and-spikes-now-robots-can-feel-express-emotions/articleshow/65025634.cms/
2018-07-19,TechBriefs,Is It Important to Know How a Robot is 'Feeling?',goosebumps,no,https://www.techbriefs.com/component/content/article/tb/stories/blog/32428/
2018-07-20,CNET,This robotic skin gets 'goosebumps',goosebumps,yes,https://www.cnet.com/videos/this-robotic-skin-gets-goosebumps/
2018-07-25,Inverse,Can a Robot Get Goosebumps? The Health Reason Science is Making It Happen,goosebumps,no,https://www.inverse.com/article/47425-shapeshifting-robot-skin-communicates-emotions/
2018-07-30,dezeen,Texture-changing skin lets robot express its feelings,goosebumps,yes,https://www.dezeen.com/2018/07/30/feeling-robot-cornell-university-texture-changing-skin-technology/
2019-03-11,Cornell Chronicle,"In competition, people get discouraged by competent robots",ebrd,yes,http://news.cornell.edu/stories/2019/03/competition-people-get-discouraged-competent-robots
